iter	Passed	Remaining
0	126	126629
1	128	64208
2	130	43309
3	132	32907
4	134	26711
5	139	23110
6	142	20153
7	146	18180
8	148	16388
9	150	14909
10	152	13704
11	154	12690
12	156	11845
13	159	11225
14	161	10635
15	164	10103
16	166	9599
17	167	9150
18	169	8753
19	172	8474
20	175	8181
21	177	7887
22	179	7640
23	181	7388
24	183	7153
25	185	6949
26	190	6867
27	192	6677
28	194	6503
29	195	6337
30	197	6182
31	199	6034
32	201	5897
33	204	5804
34	205	5675
35	207	5556
36	209	5440
37	210	5332
38	214	5284
39	216	5197
40	218	5103
41	219	5015
42	221	4932
43	223	4852
44	224	4774
45	227	4711
46	229	4662
47	231	4599
48	233	4536
49	235	4476
50	237	4416
51	239	4358
52	242	4329
53	245	4299
54	248	4265
55	249	4213
56	251	4162
57	253	4113
58	255	4067
59	259	4071
60	262	4033
61	263	3990
62	265	3947
63	267	3906
64	268	3864
65	270	3829
66	273	3803
67	274	3766
68	276	3730
69	277	3692
70	279	3656
71	280	3621
72	282	3586
73	283	3553
74	285	3521
75	289	3519
76	291	3496
77	293	3468
78	295	3441
79	296	3414
80	298	3387
81	300	3360
82	302	3339
83	304	3320
84	306	3300
85	308	3276
86	309	3252
87	311	3227
88	313	3204
89	314	3181
90	319	3192
91	321	3174
92	323	3154
93	325	3132
94	326	3111
95	328	3092
96	330	3072
97	336	3092
98	339	3092
99	341	3072
100	342	3052
101	344	3031
102	345	3011
103	348	3001
104	351	2996
105	353	2981
106	355	2966
107	357	2951
108	359	2935
109	360	2917
110	362	2904
111	365	2895
112	367	2884
113	369	2868
114	370	2851
115	372	2835
116	373	2819
117	375	2805
118	377	2791
119	382	2801
120	383	2786
121	385	2771
122	386	2756
123	388	2742
124	389	2729
125	391	2715
126	395	2716
127	397	2707
128	399	2694
129	400	2680
130	402	2666
131	403	2653
132	405	2641
133	406	2628
134	408	2619
135	410	2609
136	412	2598
137	414	2586
138	415	2575
139	417	2564
140	418	2552
141	420	2541
142	422	2529
143	424	2520
144	426	2512
145	427	2503
146	429	2492
147	431	2482
148	432	2472
149	434	2462
150	436	2452
151	437	2441
152	441	2445
153	443	2437
154	444	2422
155	446	2413
156	447	2403
157	449	2392
158	450	2382
159	452	2373
160	453	2363
161	458	2371
162	460	2362
163	461	2353
164	463	2343
165	464	2333
166	466	2324
167	466	2311
168	468	2302
169	473	2312
170	475	2303
171	476	2296
172	478	2288
173	480	2280
174	481	2271
175	483	2264
176	486	2262
177	488	2255
178	490	2248
179	491	2239
180	493	2231
181	494	2222
182	496	2215
183	497	2207
184	499	2198
185	500	2190
186	502	2185
187	505	2181
188	506	2174
189	508	2167
190	509	2159
191	511	2152
192	513	2145
193	517	2150
194	519	2144
195	521	2137
196	522	2129
197	524	2122
198	525	2115
199	527	2109
200	528	2102
201	532	2105
202	534	2099
203	536	2093
204	538	2086
205	539	2080
206	541	2073
207	542	2067
208	544	2060
209	546	2056
210	548	2050
211	550	2045
212	551	2038
213	553	2032
214	554	2025
215	556	2019
216	557	2012
217	559	2006
218	561	2000
219	563	1996
220	564	1991
221	566	1985
222	567	1979
223	569	1973
224	571	1967
225	572	1961
226	574	1955
227	575	1949
228	580	1953
229	582	1948
230	583	1942
231	585	1937
232	586	1931
233	588	1925
234	589	1919
235	591	1913
236	596	1920
237	598	1915
238	599	1909
239	601	1904
240	603	1899
241	604	1893
242	606	1888
243	613	1899
244	615	1897
245	617	1891
246	618	1886
247	620	1880
248	621	1875
249	624	1874
250	626	1870
251	628	1865
252	630	1860
253	631	1855
254	633	1851
255	635	1846
256	636	1841
257	639	1839
258	641	1835
259	643	1831
260	644	1826
261	646	1820
262	647	1815
263	649	1810
264	650	1805
265	655	1808
266	657	1804
267	658	1799
268	660	1795
269	662	1791
270	664	1786
271	665	1781
272	668	1780
273	671	1778
274	673	1774
275	674	1769
276	676	1764
277	677	1759
278	679	1754
279	680	1750
280	683	1749
281	686	1747
282	688	1743
283	689	1738
284	691	1734
285	692	1729
286	694	1724
287	695	1720
288	697	1715
289	699	1713
290	701	1708
291	703	1704
292	704	1700
293	706	1696
294	707	1691
295	709	1687
296	711	1683
297	712	1678
298	716	1679
299	718	1675
300	732	1701
301	734	1697
302	735	1692
303	737	1688
304	738	1683
305	740	1679
306	742	1675
307	743	1670
308	748	1674
309	750	1670
310	752	1666
311	753	1661
312	755	1657
313	756	1653
314	758	1649
315	760	1645
316	762	1642
317	764	1639
318	766	1635
319	767	1631
320	769	1627
321	770	1622
322	772	1618
323	773	1614
324	776	1612
325	778	1610
326	780	1606
327	782	1603
328	784	1600
329	786	1596
330	788	1593
331	790	1589
332	796	1595
333	798	1592
334	800	1588
335	801	1584
336	803	1580
337	804	1576
338	807	1573
339	809	1570
340	810	1566
341	812	1563
342	814	1559
343	815	1555
344	817	1551
345	818	1547
346	820	1543
347	825	1545
348	827	1543
349	829	1539
350	830	1536
351	832	1532
352	833	1528
353	835	1524
354	837	1522
355	840	1519
356	841	1516
357	843	1512
358	845	1509
359	847	1506
360	848	1502
361	850	1499
362	855	1501
363	857	1498
364	859	1494
365	860	1491
366	862	1487
367	864	1483
368	865	1480
369	867	1476
370	869	1474
371	871	1471
372	873	1467
373	874	1464
374	876	1460
375	877	1456
376	879	1453
377	887	1460
378	889	1457
379	890	1453
380	892	1450
381	894	1447
382	897	1445
383	899	1442
384	901	1439
385	902	1436
386	904	1433
387	906	1429
388	908	1426
389	909	1423
390	912	1421
391	914	1418
392	916	1415
393	918	1412
394	919	1408
395	921	1405
396	922	1401
397	924	1398
398	926	1395
399	928	1392
400	930	1389
401	932	1386
402	934	1383
403	935	1380
404	937	1377
405	941	1377
406	943	1374
407	944	1370
408	946	1367
409	948	1364
410	949	1361
411	951	1357
412	953	1354
413	957	1355
414	959	1352
415	961	1349
416	962	1345
417	964	1342
418	966	1339
419	967	1336
420	969	1333
421	971	1330
422	973	1327
423	974	1324
424	976	1321
425	978	1318
426	980	1315
427	981	1312
428	983	1308
429	987	1309
430	989	1306
431	991	1303
432	993	1300
433	994	1297
434	996	1294
435	997	1290
436	999	1287
437	1003	1287
438	1005	1284
439	1006	1281
440	1008	1278
441	1010	1275
442	1011	1271
443	1013	1268
444	1014	1265
445	1019	1266
446	1021	1264
447	1023	1261
448	1025	1258
449	1026	1254
450	1028	1251
451	1029	1248
452	1031	1246
453	1033	1243
454	1035	1240
455	1036	1237
456	1038	1234
457	1040	1231
458	1042	1228
459	1043	1225
460	1045	1222
461	1047	1219
462	1049	1217
463	1051	1214
464	1052	1211
465	1054	1208
466	1056	1205
